RID dG0'r pH T I 
R53 17.100 7.00 313.15 NaN 
R54 14.899 7.00 333.15 NaN 
R6 14.355 7.00 333.15 NaN 
R6 11.627 7.00 333.15 NaN 
R6 15.591 7.00 313.15 NaN 
R6 15.591 7.00 313.15 NaN 
R6 20.143 7.00 273.15 NaN 
R6 13.299 7.00 333.15 NaN 
R6 21.684 7.00 273.15 NaN 
R6 16.172 7.00 313.15 NaN 
R6 19.385 7.00 293.15 NaN 
R6 13.493 7.00 313.15 NaN 
R6 19.250 7.00 293.15 NaN 
R6 17.915 7.00 293.15 NaN 
R6 1.032 7.65 310.15 NaN 
R6 19.424 8.00 288.15 NaN 
R6 0.516 7.00 313.15 NaN 
R6 1.113 7.60 300.15 NaN 
R6 -8.548 8.25 298.15 NaN 
R6 -0.075 8.50 304.75 NaN 
R6 0.025 8.50 298.15 NaN 
R6 7.125 7.00 310.15 NaN 
R6 5.465 9.00 310.15 NaN 
R6 -13.806 7.00 298.15 NaN 
R6 2.463 8.00 298.15 NaN 
R6 0.207 8.00 298.15 NaN 
R6 -0.612 8.00 298.15 NaN 
R6 -0.144 8.00 298.15 NaN 
R6 0.207 8.00 298.15 NaN 
R6 2.673 8.00 298.15 NaN 
R6 2.983 8.00 298.15 NaN 
R6 1.620 8.00 298.15 NaN 
R7 -0.325 8.00 298.15 NaN 
R55 0.992 8.00 298.15 NaN 
R25 1.924 8.00 298.15 NaN 
R44 2.823 8.00 298.15 NaN 
R18 2.673 8.00 298.15 NaN 
R16 1.767 8.00 298.15 NaN 
R16 4.139 7.00 318.15 NaN 
R56 3.483 7.00 331.15 NaN 
R56 3.001 7.00 341.15 NaN 
R43 4.492 7.00 311.15 NaN 
R8 2.651 7.00 348.15 NaN 
R8 3.789 7.00 325.15 NaN 
R8 -13.982 6.99 310.15 0.25 
R8 -13.297 6.99 310.15 0.25 
R8 -4.222 7.30 275.80 NaN 
R8 -4.239 6.35 276.90 NaN 
R8 -4.240 6.35 277.00 NaN 
R8 -4.023 6.35 284.00 NaN 
R8 -3.965 6.35 286.10 NaN 
R8 -3.859 6.35 288.20 NaN 
R8 -3.786 7.30 288.20 NaN 
R8 -3.686 6.35 291.90 NaN 
R8 -3.544 6.35 296.70 NaN 
R8 -3.429 6.35 298.70 NaN 
R14 -3.348 6.35 303.00 NaN 
R14 -3.246 6.35 303.00 NaN 
R14 -3.003 6.35 309.90 NaN 
R14 -2.913 6.35 310.70 NaN 
R14 -2.922 6.35 311.70 NaN 
R14 -3.422 7.30 298.10 NaN 
R10 -3.453 6.35 299.20 NaN 
R10 -4.075 6.35 282.30 NaN 
R24 -4.243 6.35 277.20 NaN 
